rank,name,school,division,flight,wins,losses,TGRS,TGRS_scaled,ts_rating,ts_mu,local_ts_mu,ts_sigma,reachability,local_reachability,sos,local_sos,quality_wins,won_after_set1_loss,vs_weaker_opp,vs_mid_opp,vs_top_opp,last_match_date,reason_below
86,Ethan Dent,Grand Rapids Kenowa Hills,overall,3,8,2,184.63,37.5,10.26,26.56,26.56,5.43,61,61,22.49,22.49,0,0/2 (0%),7-0 (100%),0-1 (0%),0-1 (0%),2026-09-21,Lower TrueSkill rating
87,Aiden Riffel,Middleville Thornapple Kellogg,overall,3,4,11,202.13,39.8,11.14,27.6,27.6,5.49,66,66,28.86,28.86,0,1/12 (8%),4-1 (80%),0-2 (0%),0-6 (0%),2026-09-22,Worse score margin vs common opponents
88,Arjun Lamuth,Marshall,overall,3,4,5,193.34,38.7,11.43,26.29,26.29,4.95,62,62,24.33,24.33,0,2/7 (29%),3-1 (75%),1-2 (33%),0-2 (0%),2026-09-21,Worse score margin vs common opponents
89,Joseph Schilling,Canton,overall,3,8,3,208.49,40.7,8.49,25.36,25.36,5.62,74,74,26.94,26.94,3,2/5 (40%),4-0 (100%),1-1 (50%),1-2 (33%),2026-09-17,Lower TrueSkill rating
90,Owen Goodrich,Macomb L'Anse Creuse North,overall,3,9,3,198.29,39.3,12.47,29.32,29.32,5.62,59,59,26.77,26.77,3,2/5 (40%),4-0 (100%),1-2 (33%),1-1 (50%),2026-09-22,Lost head-to-head vs player above
91,Adam Cunningham,Clinton Township Chippewa Valley,overall,3,10,3,207.9,40.6,18.34,37.86,37.86,6.51,51,51,22.26,22.26,2,0/3 (0%),5-0 (100%),2-0 (100%),1-2 (33%),2026-09-21,Worse score margin vs common opponents
92,William (Liam) Beck,Port Huron Northern,overall,3,9,3,209.2,40.8,18.38,36.32,36.32,5.98,51,51,21.47,21.47,3,0/2 (0%),6-0 (100%),3-1 (75%),0-2 (0%),2026-09-21,Worse score margin vs common opponents
93,Jackson Hill,Cadillac,overall,3,7,6,191.52,38.4,9.84,23.7,23.7,4.62,63,63,26.51,26.51,2,1/7 (14%),3-0 (100%),1-4 (20%),1-2 (33%),2026-09-15,Lower TrueSkill rating
94,Luke Davis,Traverse City St Francis,overall,3,7,14,160.87,34.3,5.49,22.74,22.74,5.75,59,59,30.81,30.81,0,1/15 (7%),4-1 (80%),0-3 (0%),0-10 (0%),2026-09-12,Fewer wins vs common opponents
95,Nick Karabestos,Three Rivers,overall,3,6,1,174.98,36.2,10.76,29.35,29.35,6.2,56,56,18.17,18.17,0,0/1 (0%),5-0 (100%),1-0 (100%),0-1 (0%),2026-09-22,Worse score margin vs common opponents
96,Nolan Cybulski,Utica Ford,overall,3,7,8,168.93,35.4,11.05,27.01,27.01,5.32,48,48,29.27,29.27,2,1/9 (11%),2-0 (100%),3-1 (75%),0-7 (0%),2026-09-18,Lower TrueSkill rating
97,Logun Fisher,Coldwater,overall,3,6,5,163.33,34.6,5.58,21.36,21.36,5.26,61,61,23.77,23.77,1,1/5 (20%),5-0 (100%),1-1 (50%),0-3 (0%),2026-09-21,Lower TrueSkill rating
98,Charlie Cotts,Battle Creek Harper Creek,overall,3,7,3,158.94,34.1,7.73,22.98,22.98,5.08,54,54,21.44,21.44,1,3/5 (60%),5-0 (100%),1-3 (25%),,2026-09-21,Worse score margin vs common opponents
99,Eli Montague,Kalamazoo Central,overall,3,9,5,170.58,35.6,8.93,26.0,26.0,5.69,58,58,19.74,19.74,0,0/4 (0%),7-2 (78%),0-1 (0%),0-2 (0%),2026-09-14,Fewer wins vs common opponents
100,Gavin Eifert,St. Clair,overall,3,15,8,172.91,35.9,11.12,27.9,27.9,5.6,50,50,28.52,28.52,2,1/9 (11%),7-0 (100%),6-0 (100%),0-7 (0%),2026-09-21,Worse score margin vs common opponents
101,Dillon Gagnon,Alpena,overall,3,4,6,140.75,31.6,6.25,23.8,23.8,5.85,49,49,22.94,22.94,0,0/6 (0%),4-0 (100%),0-4 (0%),0-1 (0%),2026-09-17,Lower TrueSkill rating
102,Caleb Robbins,Vicksburg,overall,3,4,8,141.85,31.8,6.05,22.67,22.67,5.54,47,47,32.18,32.18,1,0/7 (0%),2-0 (100%),1-2 (33%),1-6 (14%),2026-09-21,Lower TrueSkill rating
103,Viktor Shevchenko,Grand Rapids Northview,overall,3,4,10,149.65,32.8,2.92,19.76,19.76,5.61,60,60,30.09,30.09,0,2/12 (17%),2-0 (100%),0-2 (0%),0-5 (0%),2026-09-22,Lower TrueSkill rating
104,Will Mihalek,Coopersville,overall,3,6,6,134.75,30.8,1.11,18.33,18.33,5.74,59,59,22.3,22.3,0,0/4 (0%),5-2 (71%),1-2 (33%),0-1 (0%),2026-09-21,Lost head-to-head vs player above
105,Noah Marquardt,Harbor Springs,overall,3,1,4,112.25,27.8,1.24,17.52,17.52,5.43,48,48,20.01,20.01,0,0/4 (0%),1-2 (33%),,,2026-09-17,Lower TrueSkill rating
106,Robbie Majoras,Kalamazoo Hackett Catholic Prep,overall,3,7,5,130.4,30.2,4.13,21.7,21.7,5.86,49,49,20.43,20.43,1,0/5 (0%),6-2 (75%),1-1 (50%),0-2 (0%),2026-09-17,Worse score margin vs common opponents
107,Cody Strauss,Buchanan,overall,3,5,2,155.82,33.6,10.55,26.58,26.58,5.34,47,47,17.98,17.98,0,1/3 (33%),4-2 (67%),,,2026-09-21,Lost head-to-head vs player above
108,Lincoln Williams,Dewitt,overall,3,4,11,84.48,24.1,-5.73,13.5,13.5,6.41,47,47,32.22,32.22,2,0/10 (0%),0-1 (0%),1-2 (33%),1-5 (17%),2026-09-18,Lower TrueSkill rating
109,Daniel Beaver,Eaton Rapids,overall,3,6,4,158.3,34.0,12.35,29.29,29.29,5.65,42,42,21.99,21.99,1,1/5 (20%),5-1 (83%),1-2 (33%),0-1 (0%),2026-09-21,Worse score margin vs common opponents
110,Luis Portilho-DeCarnalh,Fowlerville,overall,3,8,4,163.25,34.6,11.49,26.46,26.46,4.99,46,46,24.45,24.45,1,0/4 (0%),5-1 (83%),1-0 (100%),1-3 (25%),2026-09-18,Lower TrueSkill rating
111,Alexander Wrask,Goodrich,overall,3,7,3,182.22,37.2,18.85,36.15,36.15,5.76,38,38,20.78,20.78,1,1/4 (25%),5-1 (83%),2-1 (67%),0-1 (0%),2026-09-22,Lost head-to-head vs player above
112,Jack Pfeiffer,Bay City John Glenn,overall,3,7,3,173.41,36.0,16.48,34.58,34.58,6.03,38,38,26.92,26.92,1,0/3 (0%),2-0 (100%),4-1 (80%),1-2 (33%),2026-09-22,Lower TrueSkill rating
